670,0,715,0,715,10,670,10,124.5204
716,0,736,0,736,9,716,9,129.9698
742,0,804,0,804,16,742,16,111.7628
811,0,868,0,868,26,811,26,85.4649
878,0,988,12,983,45,873,27,42.6667
685,78,694,78,692,128,683,127,46.6706
696,81,705,81,705,102,696,102,45.6364
726,79,740,83,724,133,711,129,42.9635
700,84,716,85,713,128,697,127,43.6289
903,344,1026,350,1024,382,901,376,134.2669
1023,350,1113,355,1111,387,1021,381,142.2456
1110,377,1280,386,1278,448,1107,439,76.3641
889,374,1109,390,1104,448,885,432,59.3028
1150,452,1278,452,1278,473,1150,473,0.9000
