1126,191,1240,173,1244,203,1131,220,0.9000
989,193,1131,183,1134,228,993,238,46.0792
934,205,991,200,995,238,937,243,78.8739
1077,247,1146,240,1149,265,1080,271,42.6667
1011,254,1080,251,1081,268,1012,271,42.6667
993,259,1008,259,1008,270,993,270,46.8542
1006,283,1036,283,1036,300,1006,300,67.8309
1035,282,1091,282,1091,301,1035,301,85.1079
1091,282,1137,282,1137,305,1091,305,42.6667
972,313,1027,316,1027,328,972,325,42.6667
1026,314,1077,314,1077,330,1026,330,42.6667
1076,314,1110,316,1109,332,1075,330,42.6667
1108,316,1165,316,1165,331,1108,331,42.6667
1176,317,1242,317,1242,334,1176,334,0.9000
964,372,998,374,997,389,963,387,42.6667
994,373,1112,379,1111,395,993,389,42.6667
1112,379,1153,379,1153,396,1112,396,42.6667
1150,381,1185,381,1185,400,1150,400,0.9000
