150,0,185,0,185,24,150,24,120.8411
113,36,153,71,134,92,95,57,108.0513
168,57,206,9,330,68,292,132,93.8163
136,72,155,75,173,98,153,96,93.3325
906,190,1037,164,1175,197,1045,223,88.3024
223,109,302,148,288,175,210,136,72.1164
365,172,386,160,406,173,386,184,47.0276
248,238,273,231,298,239,273,246,42.6667
189,219,285,219,285,246,189,246,42.6667
953,673,953,654,988,652,989,672,1.0000
1169,294,1216,283,1237,291,1191,302,0.9999
1211,300,1210,284,1246,282,1247,297,0.9998
228,137,236,123,270,142,262,157,0.9998
159,100,170,81,217,107,206,126,0.9997
256,151,264,137,298,156,290,171,0.9969
986,672,985,653,1024,652,1024,670,0.9421
1171,164,1278,164,1278,218,1171,218,0.9000
