151,231,186,223,217,231,183,240,127.0901
154,240,196,240,196,256,154,256,96.4086
173,277,210,266,248,275,212,285,86.7516
149,254,274,252,274,270,149,272,76.7793
218,232,242,224,265,231,241,239,69.7235
189,247,225,238,253,247,216,256,60.2288
438,507,735,544,730,584,433,547,47.6237
48,274,77,251,104,270,75,294,47.2059
177,309,213,292,249,307,213,324,44.4298
533,238,580,216,628,217,581,239,42.6667
552,280,602,274,605,295,554,300,42.6667
555,299,607,294,609,316,557,320,42.6667
556,319,608,314,610,335,558,340,42.6667
393,550,638,588,635,607,390,569,42.6667
