270,437,300,424,326,432,296,445,109.0796
249,416,295,395,340,406,293,427,66.3561
477,398,532,376,591,381,536,403,54.9025
387,403,414,390,441,397,414,410,52.8213
327,74,357,60,389,68,358,82,49.8206
308,33,353,33,353,53,308,53,43.6594
288,497,361,474,396,481,322,503,42.6667
501,461,530,442,570,448,541,466,42.6667
729,347,772,344,773,364,730,367,42.6667
727,397,772,390,774,407,729,413,42.6667
698,416,714,416,714,427,698,427,42.6667
253,517,249,496,326,480,330,501,1.0000
633,443,631,430,715,413,717,426,1.0000
