599,128,610,117,632,121,621,132,94.4318
593,263,619,247,646,259,619,275,81.2605
603,231,625,222,646,233,623,243,76.2629
0,157,55,164,50,201,0,194,70.0137
592,154,654,135,722,154,660,172,65.4096
236,137,271,143,290,175,254,169,60.5305
600,189,659,171,718,186,660,205,46.4747
625,121,654,115,668,121,638,128,43.0170
597,290,637,276,677,290,637,304,42.6667
646,257,680,245,711,259,677,271,42.6667
350,275,376,268,404,275,378,282,42.6667
675,288,699,275,721,292,696,305,42.6667
924,152,962,92,1015,93,977,152,42.6667
680,123,690,116,706,122,696,129,42.6667
670,370,697,370,697,378,670,378,42.6667
644,382,696,382,696,390,644,390,42.6667
662,410,716,406,717,419,662,422,42.6667
604,410,664,410,664,422,604,422,42.6667
653,127,653,114,685,114,685,127,0.9999
638,381,637,366,696,365,696,380,0.9994
238,307,238,293,277,293,277,307,0.9988
