1045,393,1046,377,1113,379,1112,396,1.0000
1130,217,1127,190,1233,178,1236,205,1.0000
1108,395,1108,379,1155,381,1154,396,1.0000
938,242,936,207,990,203,993,238,0.9999
996,234,992,198,1128,185,1132,221,0.9999
1149,396,1149,381,1186,382,1185,398,0.9999
1171,332,1172,317,1239,320,1238,335,0.9999
992,391,993,374,1055,375,1054,392,0.9999
1082,271,1081,247,1145,245,1146,269,0.9998
1089,303,1090,281,1136,283,1136,305,0.9997
962,389,963,372,1005,373,1004,390,0.9994
1103,333,1104,313,1171,316,1170,335,0.9993
986,274,986,258,1048,258,1048,274,0.8823
966,275,967,259,995,259,994,275,0.8367
