1110,60,1106,44,1152,30,1157,46,1.0000
1143,49,1139,33,1179,23,1183,39,1.0000
1202,356,1203,343,1258,347,1257,360,1.0000
664,177,666,159,736,165,735,184,1.0000
763,231,758,155,816,151,821,227,0.9999
974,238,974,212,1002,212,1002,238,0.9998
1111,40,1107,24,1139,17,1142,33,0.9996
912,239,908,186,977,181,980,234,0.9995
984,93,981,80,1018,72,1020,85,0.9995
1145,31,1142,16,1173,10,1176,25,0.9993
974,81,971,68,1009,58,1012,71,0.9489
1039,162,1039,146,1070,145,1070,162,0.9408
654,52,650,40,720,14,724,26,0.8967
